CNS,Situação,Nome,UF,Município,Endereço,Bairro,CEP,Column
36269,Ativo,CARTORIO DE REGISTRO CIVIL DAS PESSOAS NATURAIS E TABELIONATO DE NOTAS,MG,RUBIM,"RUA MANUEL SARAIVA, 295",CENTRO,39950000,
36277,Ativo,OFÍCIO DE REGISTRO CIVIL E TABELIONATO DE NOTAS DE CHAPADA GAÚCHA,MG,CHAPADA GAUCHA,"RUA ELOI FERREIRA DA SILVA, 370",CENTRO,39314000,
36285,Ativo,REGISTRO CIVIL E TABELIONATO DE NOTAS DE ESTEIOS,MG,LUZ,"PRAÇA JOÃO BATISTA COUTO, Nº: 420",CENTRO,35596000,
36293,Ativo,CARTÓRIO DE REGISTRO CIVIL DAS PESSOAS NATURAIS E TABELIONATO DE NOTAS DE SANTO ANTÔNIO DOS CAMPOS,MG,DIVINOPOLIS,"RUA JOÃO MARTINS COELHO, Nº 331",FLORERMIDA,35505000,
36301,Ativo,CARTÓRIO DE REGISTRO CIVIL DAS PESSOAS NATURAIS E TABELIONATO DE NOTAS DO MUNICIPIO DE FRANCISCO DUMONT,MG,FRANCISCO DUMONT,"AVENIDA ODILON LOURES, N. 217",CENTRO,39387000,
36319,Ativo,"CARTÓRIO DE REGISTRO CIVIL, PAZ E NOTAS",MG,SAO ROQUE DE MINAS,"RUA ANTENOR ALVES VILELA, 80",CENTRO,37928000,
36327,Ativo,OFÍCIO DO REGISTRO CIVIL COM ATRIBUIÇÃO NOTARIAL DE DESTERRO DE MELO,MG,DESTERRO DO MELO,"PRAÇA CARLOS JAIME, 50",CENTRO,36210000,
36335,Ativo,CARTORIO DE REGISTRO CIVIL DE BAMBUI-MG,MG,BAMBUI,"RUA JOSÉ AUGUSTO CHAVES, Nº 642",CENTRO,38900000,
36343,Ativo,"CARTÓRIO DE REGISTRO CIVIL DE MONTE AZUL, MG",MG,MONTE AZUL,"RUA GOVERNADOR VALADARES, Nº 59",CENTRO,39500000,
36350,Ativo,CARTÓRIO DE REGISTRO CIVIL DE NEPOMUCENO,MG,NEPOMUCENO,"RUA:CAPITÃO FRANCISCO LIMA,277,",CENTRO,37250000,
36376,Ativo,CARTÓRIO DE REGISTRO CIVIL DE PESSOAS NATURAIS,MG,SABARA,"RUA MARIETA MACHADO, 103",CENTRO,34505390,
36384,Ativo,CARTÓRIO REGISTRO CIVIL DAS PESSOAS NATURAIS,MG,MEDINA,TRAVESSA AUGUSTO DOS ANJOS Nº 188,CENTRO,39620000,
36392,Ativo,OFÍCIO DO REGISTRO CIVIL E TABELIONATO DE NOTAS DE PASSA-DEZ,MG,BOM JESUS DO GALHO,"RUA JOAO CANDIDO DE ASSIS, Nº 29",CENTRO,35343000,
36400,Ativo,CARTÓRIO DE REGISTRO CIVIL DE PESSOAS NATURAIS DA SEDE DA COMARCA DE SANTA BÁRBARA,MG,SANTA BARBARA,"RUA ANTÔNIO PEREIRA ROCHA, 190 - 2º ANDAR - SALA 02",CENTRO,35960000,
36418,Ativo,CARTORIO DE REGISTRO CIVIL DE PESSOAS NATURAIS DE BARÃO DE COCAIS,MG,BARAO DE COCAIS,"RUA GETÚLIO VARGAS, 640",CENTRO,35970000,
36426,Ativo,CARTÓRIO DE REGISTRO CIVIL DE PESSOAS NATURAIS E INTERDIÇÕES E TUTELAS,MG,POMPEU,"RUA JOSÉ CIPRIANO DE CAMPOS, Nº 578",CENTRO,35640000,
36434,Ativo,CARTÓRIO DE REGISTRO CIVIL DE PESSOAS NATURAIS E NOTAS,MG,IRAI DE MINAS,"RUA DO COMERCIO, Nº 09 - SALA 1",CENTRO,38510000,
36442,Ativo,CARTÓRIO DE REGISTRO CIVIL DE PESSOAS NATURAIS E NOTAS DE RIO DOCE,MG,RIO DOCE,"RUA SALVADOR REAL,66-A",CENTRO,35442000,
36459,Ativo,CARTÓRIO DO REGISTRO CIVIL E TABELIONATO DE NOTAS DO DISTRITO DE ARAÇAJI DE MINAS,MG,PEDRA AZUL,"PRAÇA SANTO ANTÔNIO, S/Nº",DISTRITO DE ARAÇAJI DE MINAS,39970000,
36467,Ativo,CARTÓRIO DE REGISTRO CIVIL DE PESSOAS NATURAIS E TABELIONATO DE NOTAS DE SANTA RITA DE OURO PRETO,MG,OURO PRETO,"RUA DOM VELOSO, 188. CENTRO.",CENTRO,35409000,
36475,Ativo,"SERVIÇO DE REGISTRO CIVIL DE PESSOAS NATURAIS, INTERDIÇÕES E TUTELAS DE MUTUM",MG,MUTUM,"RUA ARTUR LOBATO, N 34",CENTRO,36955000,
36483,Ativo,CARTÓRIO DE REGISTRO CIVIL DE SANTA RITA DE CALDAS,MG,SANTA RITA DE CALDAS,"RUA PREFEITO NESTOR MARTINS, N° 147",CENTRO,37775000,
36491,Ativo,CARTÓRIO DE REGISTRO CIVIL DE SERRA DO SALITRE,MG,SERRA DO SALITRE,"RUA CALÊNDULA, Nº 631",FLORES,38760000,
36509,Ativo,OFÍCIO DO REGISTRO CIVIL E TABELIONATO DE NOTAS DE DESEMBARGADOR OTONI,MG,DIAMANTINA,RUA BELA VISTA Nº 97,CENTRO,39113000,
36517,Ativo,SERVIÇO REGISTRAL DAS PESSOAS NATURAIS COM ATRIBUIÇÕES NOTARIAIS,MG,CARVALHOS,"RUA CAPITÃO JOÃO DINIZ, 70",CENTRO,37456000,
36525,Ativo,OFÍCIO DO REGISTRO CIVIL COM ATRIBUIÇÃO NOTARIAL DE SAPUCAÍ-MIRIM,MG,SAPUCAI-MIRIM,"RUA GOVENADOR VALADARES, N° 115B",CENTRO,37690000,
36533,Ativo,CARTÓRIO DE REGISTRO CIVIL E ANEXO DE NOTAS,MG,CIPOTANEA,RUA CAPITÃO GOMES Nº 194,CENTRO,36265000,
36541,Ativo,OFÍCIO DO REGISTRO CIVIL DAS PESSOAS NATURAIS,MG,ITAGUARA,"RUA CORONEL FRAZÃO, 29",CENTRO,35514000,
36558,Ativo,OFÍCIO DO REGISTRO CIVIL COM ATRIBUIÇÃO NOTARIAL DE MINDURI,MG,MINDURI,"AVENIDA GETÚLIO VARGAS, Nº. 166",CENTRO,37447000,
36566,Ativo,CARTÓRIO DE REGISTRO CIVIL E ANEXOS,MG,MADRE DE DEUS DE MINAS,"RUA MARECHAL FLORIANO PEIXOTO, 54",CENTRO,37305000,
36574,Ativo,OFÍCIO DO REGISTRO CIVIL E TABELIONATO DE NOTAS DE MIRANTÃO,MG,BOCAINA DE MINAS,"AV. ANGELINO ANASTÁCIO DA FONSECA, N.º 294",CENTRO,37350000,
36582,Ativo,CARTÓRIO DE REGISTRO CIVIL E ANEXOS DE UNIÃO DE MINAS,MG,UNIAO DE MINAS,RUA 10 N 893,CENTRO,38288000,
36590,Ativo,REGISTRO CIVIL DAS PESSOAS NAURAIS E ATRIBUIÇÃO DE NOTAS DE CORREIA DE ALMEIDA,MG,BARBACENA,"RUA EXPEDICIONÁRIO JOSÉ LEITE FURTADO, 147",CORREIA DE ALMEIDA,36208000,
36608,Ativo,CARTÓRIO DE REGISTRO CIVIL E NOTARIAL DO DISTRITO DE DOUTOR LUND,MG,PEDRO LEOPOLDO,"RUA CRISTOVÃO DE ASSIS, 52",DOUTOR LUND,33600000,
36616,Ativo,CARTORIO DE REGISTRO CIVIL E NOTAS,MG,MONTE SANTO DE MINAS,RUA GREGORIO FERRACIN,CENTRO,37959000,
36624,Ativo,CARTORIO DE REGISTRO CIVIL E NOTAS,MG,EUGENOPOLIS,RUA PRINCIPAL ARLINDO COELHO,CENTRO,36855000,
36632,Ativo,CARTORIO DE REGISTRO CIVIL E NOTAS,MG,IBITIURA DE MINAS,"RUA ANTONIO PINTO DE CARVALHO, 98",CENTRO,37790000,
36640,Ativo,OFÍCIO DO REGISTRO CIVIL E TABELIONATO DE NOTAS DE SÃO SEBASTIÃO DO BOM SUCESSO,MG,CONCEICAO DO MATO DENTRO,RUA DAMASO Nº 31,CENTRO,35862000,
36657,Ativo,CARTORIO DE REGISTRO CIVIL E NOTAS DE SENHORA  DAS DORES,MG,BARBACENA,RUA ILIDIO JOAQUIM BATISTA Nº 31,CENTRO,36207000,
36665,Ativo,OFÍCIO DO REGISTRO CIVIL E TABELIONATO DE NOTAS DE PONTE DOS CIGANOS,MG,CORACAO DE JESUS,"RUA SEBASTIÃO DE SOUZA AGUIAR, 450",CENTRO,39433000,
36673,Ativo,OFICIO DO REGISTRO CIVIL E TABELIONATO DE NOTAS DE SANTA TERESA DO BONITO,MG,PECANHA,"RUA PEDRO AIALA,82",CENTRO,39702000,
36681,Ativo,OFICIO DO REGISTRO CIVIL E TABELIONATO DE NOTAS DE PONTO CHIQUE,MG,PONTO CHIQUE,"PRAÇA SANTANA, Nº 211",CENTRO,39328000,
36699,Ativo,OFÍCIO DE REGISTRO CIVIL DAS PESSOAS NATURAIS COM ATRIBUIÇÃO NOTARIAL DE CONCEIÇÃO DA BARRA DE MINAS,MG,CONCEICAO DA BARRA DE MINAS,"RUA VEREADOR JOÃO BATISTA NASCIMENTO, Nº 05",CENTRO,36360000,
36707,Ativo,CARTÓRIO ROSSI,MG,TARUMIRIM,"RUA TARUMIRIM, 118",CENTRO,35143000,
36715,Ativo,CARTORIO DE REGISTRO CIVIL E NOTAS DE SAPUCAIA DO NORTE,MG,GALILEIA,"RUA JOSÉ BARBOSA SOBRINHO, 08",CENTRO,35255000,
36723,Ativo,CARTORIO DE REGISTRO CIVIL E NOTAS,MG,OURO PRETO,"RUA VEREADOR HÉLIO FEREIRA, Nº 281",CENTRO,35416000,
36731,Ativo,CARTORIO DE REGISTRO CIVIL E NOTAS,MG,ITAMBE DO MATO DENTRO,RUA PRINCIPAL Nº90,CENTRO,35820000,
36749,Ativo,OFICIO DO REGISTRO CIVIL E TABELIONATO DE NOTAS DE ARACITABA,MG,ARACITABA,RUA SAO VICENTE,CENTRO,36255000,
36756,Ativo,OFÍCIO DO REGISTRO CIVIL E TABELIONATO DE NOTAS DE ALBERTO ISAACSON,MG,MARTINHO CAMPOS,"AVENIDA JOSÉ CANÇADO, 66",CENTRO,35608000,
36764,Ativo,OFICIO DO REGISTRO CIVIL E TABELIONATO DE NOTAS DE PENHA DE FRANÇA,MG,ITAMARANDIBA,"PRAÇA NOSSA SENHORA DA PENHA, 324",CENTRO,39675000,
36772,Ativo,CARTÓRIO DE REGISTRO CIVIL E NOTAS,MG,VARZELANDIA,"RUA HUMBERTO GOMES, N. 193",CENTRO,39450000,
36780,Ativo,OFÍCIO DO REGISTRO CIVIL COM ATRIBUIÇÃO NOTARIAL DE GUAICUÍ,MG,VARZEA DA PALMA,"RUA AMAZONAS, 149",CENTRO,39265000,
36798,Ativo,OFICIO DO REGISTRO CIVIL E TABELIONATO DE NOTAS DE SÃO JOÃO DO PACUÍ,MG,SAO JOAO DO PACUI,"AVENIDA AURESTINA RAMOS, 245",CENTRO,39365000,
36806,Ativo,OFICIO DO REGISTRO CIVIL E TABELIONATO DE NOTAS DE PROFESSOR SPERBER,MG,CHALE,"AV. DORNELAS, 44",CENTRO,36988000,
36814,Ativo,CARTORIO SILVEIRA REGISTRO CIVIL E NOTAS,MG,CAJURI,"AVENIDA GOVERNADOR BENEDITO VALADARES, 160",CENTRO,36560000,
36822,Ativo,CARTORIO DE REGISTRO CIVIL E NOTAS,MG,ORIZANIA,"RUA JOÃO HENRIQUE DA ROCHA, N° 59",CENTRO,36828000,
36830,Ativo,OFICIO DO REGISTRO CIVIL E TABELIONATO DE NOTAS DE PADRE JOÃO AFONSO,MG,ITAMARANDIBA,"RUA SANTA RITA, 18",CENTRO,39672000,
36848,Ativo,OFÍCIO DO REGISTRO CIVIL DAS PESSOAS NATURAIS COM ATRIBUIÇÃO NOTARIAL,MG,CORREGO DO BOM JESUS,"RUA ARLINDO CANDIDO DE ALVARENGA, 14",CENTRO,37605000,
36855,Ativo,CARTORIO DE REGISTRO CIVIL E NOTAS,MG,ITANHOMI,PRAÇA OSCAR ANTONIO DA SILVA S/N,EDGARD MELLO,35122000,
36863,Ativo,CÁRTORIO DE REGISTRO CIVIL E NOTAS,MG,MATO VERDE,"RUA PROFESSOR JOSÉ AMÉRICO, 187",CENTRO,39527000,
36871,Ativo,OFICIO DO REGISTRO CIVIL E TABELIONATO DE NOTAS DE BONANÇA,MG,IBIRACATU,"RUA JOAQUIM FERREIRA, 13",CENTRO,39456000,
36889,Ativo,OFÍCIO DO REGISTRO CIVIL E TABELIONATO DE NOTAS DE LUÍS PIRES DE MINAS,MG,CORACAO DE JESUS,"RUA SANTA TEREZINHA, Nº130",CENTRO,39344000,
36897,Ativo,CARTORIO DE REGISTRO CIVIL E NOTAS,MG,GONZAGA,"RUA: DAVINA BERNARDINO, Nº 121",CENTRO,39721000,
36905,Ativo,OFICIO DO REGISTRO CIVIL E TABELIONATO DE NOTAS DE CONCORDIA DO MUCURI,MG,LADAINHA,"PRAÇA DA MATRIZ, 45",CENTRO,39826000,
36913,Ativo,CARTORIO DE REGISTRO CIVIL E NOTAS,MG,SAO MIGUEL DO ANTA,RUA ANTONIO JOAQUIM PEREIRA - 107,CENTRO,36590000,
36921,Ativo,CARTÓRIO DE REGISTRO CIVIL E NOTAS,MG,PLANURA,RUA ARAGUARI Nº 432,CENTRO,38220000,
36939,Ativo,CARTORIO DE REGISTRO CIVIL E NOTAS,MG,SAO SEBASTIAO DO RIO VERDE,"RUA MAURÍCIO DE BIASI, Nº 90",CENTRO,37467000,
36947,Ativo,CARTÓRIO DE REGISTRO CIVIL DE BARRA DA FIGUEIRA,MG,POCRANE,"PRAÇA LEÔNCIO DE OLIVEIRA, Nº 394",CENTRO,36960000,
36954,Ativo,CARTORIO DE REGISTRO CIVIL E NOTAS,MG,LAGOA GRANDE,AV SANTOS DUMONT 725,CENTRO,38755000,
36962,Ativo,OFÍCIO DE REGISTRO CIVIL DAS PESSOAS NATURAIS COM ATRIBUIÇÃO NOTARIAL,MG,UNAI,RUA ALDEIA Nº 227,CENTRO,38610000,
36970,Ativo,CARTORIO DE REGISTRO CIVIL E NOTAS,MG,GLAUCILANDIA,"RUA OTÁVIO MESQUITA, 172A",CENTRO,39592000,
36988,Ativo,CARTÓRIO SANTA RITA,MG,RITAPOLIS,"RUA JOSÉ CESÁRIO, 57-A",CENTRO,36335000,
36996,Ativo,CARTÓRIO DE REGISTRO CIVIL E NOTAS,MG,SABARA,"LARGO DO ROSARIO, 166",RAVENA,34740000,
37002,Ativo,CARTÓRIO DE REGISTRO CIVIL E NOTAS DE SANTA RITA DE IBITIPOCA,MG,SANTA RITA DE IBITIPOCA,RUA JOAQUIM RIBEIRO DE PAULA Nº 195,CENTRO,36235000,
37010,Ativo,CARTORIO DE REGISTRO CIVIL E NOTAS,MG,MARIANA,RUA DAS FLORES Nº: 61,CACHOEIRA DO BRUMADO,35424000,
37028,Ativo,CARTORIO DE REGISTRO CIVIL E NOTAS,MG,CORONEL FABRICIANO,"AV. MAGALHÃES PINTO, 1813, LOJA 13",SENADOR MELO VIANA,35170097,
37036,Ativo,CARTÓRIO DE REGISTRO CIVIL E NOTAS DE CORREGO NOVO,MG,CORREGO NOVO,"RUA SÃO JOSÉ, 100",CENTRO,35345000,
37044,Ativo,CARTÓRIO ODILON,MG,BUGRE,"RUA GICO SANTOS, Nº 79",CENTRO,35193000,
37051,Ativo,CARTORIO DE REGISTRO CIVIL E NOTAS,MG,LAGOA FORMOSA,"PRAÇA NOSSA SENHORA DA PIEDADE, 298",CENTRO,38720000,
37069,Ativo,CARTORIO DE REGISTRO CIVIL E NOTAS,MG,CHIADOR,"RUA PADRE CARLOS DONDERO, 32",CENTRO,36630000,
37077,Ativo,OFÍCIO DE REGISTRO CIVIL DAS PESSOAS NATURAIS COM ATRIBUIÇÕES NOTARIAIS,MG,NATALANDIA,"RUA NATALÍCIO, 714",CENTRO,38658000,
37085,Ativo,CARTORIO DE REGISTRO CIVIL E NOTAS,MG,URUANA DE MINAS,RUA BONFINOPOLIS,CENTRO,38630000,
37093,Ativo,CARTORIO DE REGISTRO CIVIL E NOTAS,MG,PIRAUBA,"RUA GUARUPEMBÉ, N. 375",CENTRO,36170000,
37101,Ativo,OFÍCIO DO REGISTRO CIVIL E TABELIONATO DE NOTAS DE BREJAÚBA,MG,CONCEICAO DO MATO DENTRO,RUA PRINCIPAL,CENTRO,35880000,
37119,Ativo,CARTÓRIO DE LOBO LEITE,MG,CONGONHAS,"PÇ. DR. ÁLVARO LOBO LEITE PEREIRA, 8",CENTRO,36419000,
37127,Ativo,OFÍCIO DO REGISTRO CIVIL E TABELIONATO DE NOTAS DE SÃO PEDRO DO GLÓRIA,MG,FERVEDOURO,AVENIDA MARIA AMÉLIA DE SOUZA PEDROSA,CENTRO,36815000,
37135,Ativo,CARTORIO DE REGISTRO CIVIL E NOTAS,MG,FRONTEIRA,RUA TRES Nº48,DISTRITO STO ANTONIO DO RIO GRANDE,38230000,
37143,Ativo,REGISTRO CIVIL E TABELIONATO DE NOTAS DE PROVIDÊNCIA,MG,LEOPOLDINA,"PRAÇA PROFESSOR CARLOS FRANCO, S/N",CENTRO,36706000,
37150,Ativo,CARTORIO DE REGISTRO CIVIL E NOTAS,MG,SAO SEBASTIAO DO MARANHAO,RUA CONEGO LAFAIETE 1.068,CENTRO,39795000,
37168,Ativo,OFICIO DO REGISTRO CIVIL E TABELIONATO DE NOTAS DE SALTO DA DIVISA,MG,SALTO DA DIVISA,"RUA DA BAHIA, 390",CENTRO,39925000,
37176,Ativo,CARTORIO DE REGISTRO CIVIL E NOTAS,MG,ENTRE FOLHAS,RUA JOAQUIM CAMPOS Nº 15,CENTRO,35324000,
37184,Ativo,"CARTÓRIO DE REGISTRO CIVIL DAS PESSOAS NATURAIS E TABELIONATO DE NOTAS, INTERDIÇÕES E TUTELAS",MG,ARICANDUVA,RUA XV DE NOVEMBRO-34,CENTRO,39678000,
37192,Ativo,OFÍCIO DO REGISTRO CIVIL COM ATRIBUIÇÃO NOTARIAL DE SANTA RITA DO RIO DE PEIXE,MG,FERROS,"RUA DA PONTE, S/N",CENTRO,35807000,
37200,Ativo,OFÍCIO DO REGISTRO CIVIL E TABELIONATO DE NOTAS DE ANGUERETÁ,MG,CURVELO,"PRAÇA CORONEL JOSÉ JÚLIO MASCARENHAS, 202",CENTRO,35793000,
37218,Ativo,OFICIO DO REGISTRO CIVIL E TABELIONATO DE NOTAS DE FREI SERAFIM,MG,ITAMBACURI,"RUA SÃO PAULO, Nº 777","CENTRO, ITAMBACURI",39830000,
37226,Ativo,OFICIO DO REGISTRO CIVIL E TABELIONATO DE NOTAS DE CONTRATO,MG,ITAMARANDIBA,"RUA LUIA NEVES, Nº 186-B",CENTRO,39676000,
37234,Ativo,CARTÓRIO DE REGISTRO CIVIL E TABELIONATO DE NOTAS DE DONA EUZÉBIA,MG,DONA EUSÉBIA,"AV. ANTÔNIO ESTEVES RIBEIRO, Nº 290",CENTRO,36784000,
37242,Ativo,CARTÓRIO DE REGISTRO CIVIL E NOTAS DE SANTANA DE PATOS,MG,PATOS DE MINAS,"RUA DEOCLÉCIO DE MATOS, 150",CENTRO,38711971,
37259,Ativo,OFÍCIO DO REGISTRO CIVIL COM ATRIBUIÇÃO NOTARIAL DE DOURADINHO,MG,MACHADO,"PRAÇA BELO HORIZONTE, 90",CENTRO,37755000,
37267,Ativo,OFÍCIO DO REGISTRO CIVIL COM ATRIBUIÇÃO NOTARIAL DE VERMELHO,MG,MURIAE,RUA HAYDÊE THULLER SECUNHO N° 19,CENTRO,36880000,
37275,Ativo,OFICIO DO REGISTRO CIVIL E TABELIONATO DE NOTAS DE MARIPÁ DE MINAS,MG,MARIPA DE MINAS,"RUA BERTOLDO MACHADO N.38, LOJA 01",CENTRO,36608000,
37283,Ativo,CARTÓRIO DE REGISTRO CIVIL E NOTAS ALTAIR PORTELA,MG,GOVERNADOR VALADARES,"RUA JOEL DE OLIVEIRA, 118",CENTRO,35102000,
37291,Ativo,"CARTÓRIO DE REGISTRO CIVIL E NOTAS DE ALEGRIA, MUNICÍPIO DE SIMONÉSIA-MG",MG,SIMONESIA,RUA CONCEIÇÃO DE LANES S/N,CENTRO,36935000,
37309,Ativo,CARTORIO DE REGISTRO CIVIL E NOTAS DE ARANHA,MG,BRUMADINHO,RUA JESUINA BERNARDINO PINTO  89,ARANHA,35462000,
37317,Ativo,OFÍCIO DO REGISTRO CIVIL COM ATRIBUIÇÃO NOTARIAL DE BOM JESUS DA CACHOEIRA,MG,MURIAE,"RUA ARISTOLINO NEVES, Nº 95",CENTRO,36892000,
37325,Ativo,CARTORIO DE REGISTRO CIVIL E NOTAS DE BONITO DE MINAS,MG,BONITO DE MINAS,"AVENIDA VALDIVINO VIANA DE MATOS,135",CENTRO,39490000,
37333,Ativo,OFÍCIO DO REGISTRO CIVIL DAS PESSOAS NATURAIS COM ATRIBUIÇÃO NOTARIAL,MG,CATAS ALTAS DA NORUEGA,"AVENIDA NOSSA SENHORA DAS GRAÇAS, Nº. 147",CENTRO,36450000,
37341,Ativo,CARTÓRIO DE REGISTRO CIVIL E NOTAS DE CENTRAL DE SANTA HELENA,MG,DIVINO DAS LARANJEIRAS,"AV GOVERNADOR VALADARES,142",CENTRO,35267000,
37358,Ativo,CARTÓRIO DE REGISTRO CIVIL E NOTAS DE CHONIN,MG,GOVERNADOR VALADARES,"RUA ANTONIO RIBEIRO DA SILVA,Nº 296","CENTRO, CHONIN DE CIMA",35109000,
37366,Ativo,CARTORIO BATISTA,MG,DIVINO DAS LARANJEIRAS,"PRAÇA ANACLETO FALCI, 290",CENTRO,35265000,
37374,Ativo,CARTÓRIO DE REGISTRO CIVIL COM ATRIBUIÇÃO DE NOTAS DO DISTRITO DE DOM MODESTO,MG,CARATINGA,"RUA PEDRO BATISTA DO NASCIMENTO, 120",DOM MODESTO,35313000,
37382,Ativo,CARTÓRIO DE REGISTRO CIVIL E NOTAS DE DURANDE,MG,DURANDE,"AV. ALVARO MOREIRA DA SILVA, 258",CENTRO,36974000,
37390,Ativo,CARTÓRIO DE REGISTRO CIVIL E NOTAS DA SEDE,MG,GONZAGA,"PRAÇA JOSÉ DOS SANTOS, N° 017",CENTRO,39720000,
37408,Ativo,CARTÓRIO DE REGISTRO CIVIL DAS PESSOAS NATURAIS NOTAS DO DISTRITO DE GUINDA,MG,DIAMANTINA,"RUA DO PROGRESSO, Nº 137",CENTRO,39103000,
37416,Ativo,CARTÓRIO DE REGISTRO CIVIL E NOTAS DE IMBÉ DE MINAS - MINAS GERAIS,MG,IMBE DE MINAS,"AVENIDA PADRE CELESTINO CICARINI, Nº 146",CENTRO,35323000,
37424,Ativo,OFÍCIO DO REGISTRO CIVIL DAS PESSOAS NATURAIS COM ATRIBUIÇÃO NOTARIAL,MG,ITAVERAVA,"RUA BARÃO DE COROMANDEL, Nº. 15",CENTRO,36440000,
37432,Ativo,CARTÓRIO DE REGISTRO CIVIL E NOTAS DE JUSTINÓPOLIS MG,MG,RIBEIRAO DAS NEVES,"AV DENISE CRISTINA ROCHA, N° 780",CEREJEIRA - JUSTINÓPOLIS,33902012,
37440,Ativo,CARTÓRIO DE REGISTRO CIVIL E NOTAS DE MARLIÉRIA,MG,MARLIERIA,"RUA GOVERNADOR VALADARES, 222",CENTRO,35188000,
37457,Ativo,CARTÓRIO DE REGISTRO CIVIL E NOTAS DE MENDES PIMENTEL,MG,MENDES PIMENTEL,"PRAÇA BENEDITO QUINTINO, Nº 13",CENTRO,35270000,
37465,Ativo,CARTÓRIO DE REGISTRO CIVIL E NOTAS DE PADRE PARAÍSO,MG,PADRE PARAISO,"RUA PRESIDENTE BERNARDES, 247",CENTRO,39818000,
37473,Ativo,OFÍCIO DO REGISTRO CIVIL E NOTAS DE PATIS,MG,PATIS,"RUA SEBASTIÃO ROCHA, S/Nº",CENTRO,39378000,
37481,Ativo,OFICIO DO REGISTRO CIVIL E TABELIONATO DE NOTAS DE PIACATUBA,MG,LEOPOLDINA,"RUA JOSÉ FURTADO DE MENDONÇA, 40",CENTRO,36708000,
37499,Ativo,CARTÓRIO DE REGISTRO CIVIL E NOTAS DE QUARTEL SÃO JOÃO,MG,QUARTEL GERAL,"RUA JOSÉ ELOY, Nº 12",CENTRO,35626000,
37507,Ativo,CARTÓRIO DE REGISTRO CIVIL E NOTAS DE SANTA RITA DE JACUTINGA,MG,SANTA RITA DE JACUTINGA,"RUA WILLY GUILHERME D APARECIDA, Nº 20",CENTRO,36135000,
37515,Ativo,CARTÓRIO OLIVEIRA PATROCÍNIO -  REGISTRO CIVIL E TABELIONATO DE NOTAS,MG,OURO PRETO,"RUA ANTÔNIO DOS SANTOS, Nº 06. LJ 02",CENTRO - SANTO ANTÔNIO DO LEITE - OURO PRETO/MG,35413000,
37523,Ativo,CARTÓRIO DE REGISTRO CIVIL E NOTAS DE SÃO DOMINGOS DAS DORES-MG,MG,SAO DOMINGOS DAS DORES,"AVENIDA JOÃO BARBOSA DOS SANTOS, 309",CENTRO,35335000,
37531,Ativo,CARTÓRIO DE REGISTRO CIVIL E NOTAS DE SÃO FÉLIX DE MINAS,MG,SAO FELIX DE MINAS,"RUA JUAREZ RIBEIRO PORTES, Nº 29",CENTRO,35275000,
37549,Ativo,CARTÓRIO DE REGISTRO CIVIL E NOTAS DE SÃO GERALDO,MG,SAO GERALDO,"PRAÇA RAUL SOARES, N°363",CENTRO,36530000,
37556,Ativo,CARTÓRIO DE REGISTRO CIVIL E NOTAS DE SÃO GONÇALO DO AMARANTE,MG,SAO JOAO DEL REI,"RUA ROSSINI BACCARINI, 132",TEJUCO,36300162,
37564,Ativo,CARTÓRIO REGISTRO CIVIL DAS PESSOAS NATURAIS E NOTAS DE SÃO JOÃO DA LAGOA/MG,MG,SAO JOAO DA LAGOA,"PRAÇA DA MATRIZ, 90",CENTRO,39355000,
37572,Ativo,CARTORIO DE REGISTRO CIVIL E NOTAS DE SÃO JOÃO DA SAPUCAIA,MG,LARANJAL,"BR 116, KM 732",CÓRREGO SÃO JOÃO,36765000,
37580,Ativo,CARTÓRIO DE REGISTRO CIVIL E NOTAS DE SÃO JOSÉ DO PARAOPEBA,MG,BRUMADINHO,RUA JOAQUIM AUGUSTO RODRIGUES 314,SÃO JOSÉ DO PARAOPEBA,35460000,
37598,Ativo,TAQUARAÇU DE MINAS CARTÓRIO DE REGISTRO CIVIL,MG,TAQUARACU DE MINAS,"RUA EZEQUIEL PERDIGÃO, Nº 39",CENTRO,33980000,
37606,Ativo,CARTORIO DE REGISTRO CIVIL E NOTAS DE TOBATI,MG,IBIA,"RUA FRANCISCO DIOGO, 55",TOBATI,38953000,
37614,Ativo,CARTORIO DE REGISTRO CIVIL E NOTAS DE TORREÕES,MG,JUIZ DE FORA,"RUA PRINCIPAL, 600",CENTRO,36107000,
37622,Ativo,CARTÓRIO DE REGISTRO CIVIL E NOTAS DE UBAÍ,MG,UBAI,"RUA GUILHERME VIEIRA,113",CENTRO,39320000,
37630,Ativo,CARTÓRIO DE REGISTRO CIVIL E NOTAS DE VILA COSTINA,MG,PAINS,"RUA DONA ALFINDA COUTO, 168",CENTRO,35583000,
37648,Inativo,CARTÓRIO DE REGISTRO CIVIL E NOTAS DISTRITO DE ARACATI COMARCA DE CATAGUASES,MG,CATAGUASES,RUA PASTOR FERREIRA 0,VILA,36776000,
37655,Ativo,OFICIO DO REGISTRO CIVIL E TABELIONATO DE NOTAS DE MARAMBAINHA,MG,CARAI,"PRAÇA FREI WENCESLAU, S/Nº",CENTRO,39813000,
37663,Ativo,CARTÓRIO DE REGISTRO CIVIL E NOTAS DE SÃO CÂNDIDO,MG,CARATINGA,"AV. CAPITÃO JOÃO FRANCO, N° 271",SÃO CÂNDIDO,35320000,
